"County","Tax Code","X..Lat.","Y..Long.","CNTY_NBR","FIPS","Shape_Leng","Shape_Area","County.Centroid.Location"
"Pecos",371,30.78100044,-102.7235743,186,"48,371",6.107163024,1.162560526,"POINT (-102.7235743 30.78100044)"
"Polk",373,30.79250963,-94.82994949,187,"48,373",2.781485004,0.271059145,"POINT (-94.82994949 30.79250963)"
"Potter",375,35.40128927,-101.8940484,188,"48,375",1.958919769,0.236917308,"POINT (-101.8940484 35.40128927)"
"Presidio",377,29.99977786,-104.2405552,189,"48,377",5.308464465,0.933759578,"POINT (-104.2405552 29.99977786)"
"Rains",379,32.87004212,-95.79347545,190,"48,379",1.336044369,0.064429716,"POINT (-95.79347545 32.87004212)"
"Randall",381,34.96594288,-101.8968527,191,"48,381",1.957364828,0.235811469,"POINT (-101.8968527 34.96594288)"
"Reagan",383,31.36617698,-101.5230108,192,"48,383",2.153535174,0.288722753,"POINT (-101.5230108 31.36617698)"
"Real",385,29.83182711,-99.82215881,193,"48,385",1.867441064,0.169204892,"POINT (-99.82215881 29.83182711)"
"Red River",387,33.62074539,-95.0501886,194,"48,387",3.528132565,0.266174116,"POINT (-95.0501886 33.62074539)"
"Reeves",389,31.32307061,-103.693143,195,"48,389",4.574018208,0.648796011,"POINT (-103.693143 31.32307061)"
"Refugio",391,28.32681413,-97.16546961,196,"48,391",3.326709403,0.185681696,"POINT (-97.16546961 28.32681413)"
"Roberts",393,35.8385577,-100.8135689,197,"48,393",1.965001856,0.238522476,"POINT (-100.8135689 35.8385577)"
"Robertson",395,31.02705415,-96.51272568,198,"48,395",2.503122646,0.211742258,"POINT (-96.51272568 31.02705415)"
"Rockwall",397,32.89786769,-96.40780584,199,"48,397",0.777033816,0.037090158,"POINT (-96.40780584 32.89786769)"
"Runnels",399,31.83105393,-99.97624799,200,"48,399",2.040586091,0.260769629,"POINT (-99.97624799 31.83105393)"
"Rusk",401,32.10803224,-94.76169577,201,"48,401",2.447868376,0.23243584,"POINT (-94.76169577 32.10803224)"
"Sabine",403,31.34321941,-93.85170439,202,"48,403",2.033399379,0.141502516,"POINT (-93.85170439 31.34321941)"
"San Augustine",405,31.39427005,-94.16809762,203,"48,405",2.593834231,0.145542583,"POINT (-94.16809762 31.39427005)"
"San Jacinto",407,30.57948905,-95.16683273,204,"48,407",2.203357163,0.153019057,"POINT (-95.16683273 30.57948905)"
"San Patricio",409,28.00922186,-97.51859857,205,"48,409",3.462105819,0.167653718,"POINT (-97.51859857 28.00922186)"
"San Saba",411,31.15520543,-98.81754295,206,"48,411",3.113854136,0.278794089,"POINT (-98.81754295 31.15520543)"
"Schleicher",413,30.89661056,-100.538097,207,"48,413",2.450866584,0.321456176,"POINT (-100.538097 30.89661056)"
"Scurry",415,32.74720063,-100.9165071,208,"48,415",1.905585978,0.226711706,"POINT (-100.9165071 32.74720063)"
"Shackelford",417,32.7360276,-99.35403034,209,"48,417",1.915819092,0.228163176,"POINT (-99.35403034 32.7360276)"
"Shelby",419,31.79242191,-94.14495261,210,"48,419",2.67878976,0.205815769,"POINT (-94.14495261 31.79242191)"
"Sherman",421,36.27765824,-101.8933822,211,"48,421",1.967991354,0.239757036,"POINT (-101.8933822 36.27765824)"
"Smith",423,32.37514553,-95.26909511,212,"48,423",2.919216091,0.235718677,"POINT (-95.26909511 32.37514553)"
"Somervell",425,32.22229511,-97.77456553,213,"48,425",0.911909725,0.047473448,"POINT (-97.77456553 32.22229511)"
"Starr",427,26.56212627,-98.73834895,214,"48,427",2.600375286,0.288492302,"POINT (-98.73834895 26.56212627)"
"Stephens",429,32.73584155,-98.83612016,215,"48,429",1.922499806,0.229654219,"POINT (-98.83612016 32.73584155)"
"Sterling",431,31.82786516,-101.0500699,216,"48,431",1.946807264,0.227750271,"POINT (-101.0500699 31.82786516)"
"Stonewall",433,33.17842158,-100.255259,217,"48,433",1.943594992,0.232000971,"POINT (-100.255259 33.17842158)"
"Sutton",435,30.49747152,-100.5382263,218,"48,435",2.530570573,0.352582441,"POINT (-100.5382263 30.49747152)"
"Swisher",437,34.53064989,-101.734951,219,"48,437",1.924577033,0.229375572,"POINT (-101.734951 34.53064989)"
"Tarrant",439,32.77185236,-97.29116473,220,"48,439",1.905740162,0.225294171,"POINT (-97.29116473 32.77185236)"
"Taylor",441,32.30138229,-99.89003941,221,"48,441",1.920012399,0.227958667,"POINT (-99.89003941 32.30138229)"
"Terrell",443,30.22502597,-102.0764533,222,"48,443",3.843494266,0.572453883,"POINT (-102.0764533 30.22502597)"
"Terry",445,33.17373729,-102.335157,223,"48,445",1.896687331,0.222977795,"POINT (-102.335157 33.17373729)"
"Throckmorton",447,33.17753907,-99.21236832,224,"48,447",1.92184449,0.229200301,"POINT (-99.21236832 33.17753907)"
"Titus",449,33.2160906,-94.96509786,225,"48,449",2.00308064,0.106914371,"POINT (-94.96509786 33.2160906)"
"Tom Green",451,31.4044442,-100.4620678,226,"48,451",3.513531432,0.378383033,"POINT (-100.4620678 31.4044442)"
"Travis",453,30.33423319,-97.78194654,227,"48,453",2.458272479,0.248996407,"POINT (-97.78194654 30.33423319)"
"Trinity",455,31.0885069,-95.13551682,228,"48,455",2.235507348,0.174571747,"POINT (-95.13551682 31.0885069)"
"Tyler County",457,NA,NA,NA,NA,NA,NA,NA
"Upshur",459,32.7362827,-94.94132011,230,"48,459",1.799822872,0.147655454,"POINT (-94.94132011 32.7362827)"
"Upton",461,31.36853957,-102.0430005,231,"48,461",2.207151319,0.305162453,"POINT (-102.0430005 31.36853957)"
"Uvalde",463,29.35669829,-99.76203107,232,"48,463",2.475666015,0.376203913,"POINT (-99.76203107 29.35669829)"
"Val Verde",465,29.89300587,-101.15171,233,"48,465",4.417380788,0.781933535,"POINT (-101.15171 29.89300587)"
"Van Zandt",467,32.56368961,-95.8364862,234,"48,467",2.402843541,0.213776748,"POINT (-95.8364862 32.56368961)"
"Victoria",469,28.79640594,-96.97176602,235,"48,469",2.775292675,0.212539676,"POINT (-96.97176602 28.79640594)"
"Walker",471,30.73899492,-95.57224172,236,"48,471",2.152040802,0.195448316,"POINT (-95.57224172 30.73899492)"
"Waller",473,30.01093722,-95.98768942,237,"48,473",2.435199131,0.125424201,"POINT (-95.98768942 30.01093722)"
"Ward",475,31.509424,-103.1024636,238,"48,475",2.939565254,0.205498549,"POINT (-103.1024636 31.509424)"
"Washington",477,30.2145299,-96.40356575,239,"48,477",2.547105613,0.150743535,"POINT (-96.40356575 30.2145299)"
"Webb",479,27.76102524,-99.33170164,240,"48,479",4.761420357,0.799981776,"POINT (-99.33170164 27.76102524)"
"Wharton",481,29.2778362,-96.22197375,241,"48,481",2.467353303,0.263143063,"POINT (-96.22197375 29.2778362)"
"Wheeler",483,35.40129002,-100.2697634,242,"48,483",1.951251644,0.235165817,"POINT (-100.2697634 35.40129002)"
"Wichita",485,33.98421585,-98.70153389,243,"48,485",1.833176967,0.156295134,"POINT (-98.70153389 33.98421585)"
"Wilbarger",487,34.08044953,-99.24089568,244,"48,487",2.499326666,0.247248608,"POINT (-99.24089568 34.08044953)"
"Willacy",489,26.47132899,-97.64303323,245,"48,489",3.324169395,0.155451086,"POINT (-97.64303323 26.47132899)"
"Williamson",491,30.64834941,-97.60105467,246,"48,491",2.482291287,0.276928338,"POINT (-97.60105467 30.64834941)"
"Wilson",493,29.17315896,-98.08621015,247,"48,493",1.917175929,0.193944043,"POINT (-98.08621015 29.17315896)"
"Winkler",495,31.85008609,-103.0484794,248,"48,495",1.928019223,0.207372195,"POINT (-103.0484794 31.85008609)"
"Wise",497,33.21585061,-97.65444124,249,"48,497",1.93265109,0.231118947,"POINT (-97.65444124 33.21585061)"
"Wood",499,32.78634374,-95.38206498,250,"48,499",2.181601134,0.173379789,"POINT (-95.38206498 32.78634374)"
"Yoakum",501,33.17293501,-102.8278792,251,"48,501",1.791577313,0.200359767,"POINT (-102.8278792 33.17293501)"
"Young",503,33.17670764,-98.68781396,252,"48,503",1.941650639,0.233021666,"POINT (-98.68781396 33.17670764)"
"Zapata",505,27.00089072,-99.16860134,253,"48,505",2.24698193,0.24921502,"POINT (-99.16860134 27.00089072)"
"Zavala",507,28.86530621,-99.76102001,254,"48,507",2.300184353,0.311031225,"POINT (-99.76102001 28.86530621)"
"De Witt",NA,29.08201599,-97.35666976,62,"48,123",2.065558037,0.218449329,"POINT (-97.35666976 29.08201599)"
"Tyler",NA,30.7712607,-94.37651432,229,"48,457",2.673865732,0.228323625,"POINT (-94.37651432 30.7712607)"
"Houston",NA,31.31764137,-95.42225367,114,"48,225",3.177820872,0.303655156,"POINT (-95.42225367 31.31764137)"
"Austin",NA,29.88711223,-96.27791829,8,"48,015",2.481689338,0.158727256,"POINT (-96.27791829 29.88711223)"
